id,name,short_name,code,draw,form,loss,played,points,position,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,ARS,3,0,,0,0,0,0,4,,False,0,1230,1270,1150,1190,1280,1330
2,Aston Villa,AVL,7,0,,0,0,0,0,2,,False,0,1040,1080,1030,1060,1030,1050
3,Bournemouth,BOU,91,0,,0,0,0,0,3,,False,0,1090,1120,1030,1070,1110,1180
4,Brighton,BHA,36,0,,0,0,0,0,3,,False,0,1050,1120,1040,1160,1030,1130
5,Burnley,BUR,90,0,,0,0,0,0,3,,False,0,1050,1110,1060,1130,1050,1050
6,Chelsea,CHE,8,0,,0,0,0,0,4,,False,0,1270,1300,1200,1320,1310,1350
7,Crystal Palace,CRY,31,0,,0,0,0,0,3,,False,0,1110,1100,1060,1130,1040,1020
8,Everton,EVE,11,0,,0,0,0,0,3,,False,0,1100,1160,1110,1190,1090,1160
9,Leicester,LEI,13,0,,0,0,0,0,4,,False,0,1230,1280,1180,1240,1110,1190
10,Liverpool,LIV,14,0,,0,0,0,0,5,,False,0,1340,1360,1300,1330,1340,1370
11,Man City,MCI,43,0,,0,0,0,0,5,,False,0,1320,1350,1270,1330,1350,1370
12,Man Utd,MUN,1,0,,0,0,0,0,4,,False,0,1250,1300,1270,1310,1280,1340
13,Newcastle,NEW,4,0,,0,0,0,0,3,,False,0,1080,1110,1040,1090,1020,1030
14,Norwich,NOR,45,0,,0,0,0,0,2,,False,0,990,1030,990,1000,1030,1100
15,Sheffield Utd,SHU,49,0,,0,0,0,0,3,,False,0,1140,1190,1150,1190,1060,1110
16,Southampton,SOU,20,0,,0,0,0,0,2,,False,0,1050,1040,1010,1010,1050,1040
17,Spurs,TOT,6,0,,0,0,0,0,4,,False,0,1240,1280,1210,1290,1280,1290
18,Watford,WAT,57,0,,0,0,0,0,3,,False,0,1070,1090,1080,1120,1040,1120
19,West Ham,WHU,21,0,,0,0,0,0,3,,False,0,1070,1100,1050,1060,1120,1150
20,Wolves,WOL,39,0,,0,0,0,0,3,,False,0,1130,1170,1110,1120,1080,1140
